x,y,diff_aff
-17.25,-146.25,-0.008138097050824689
-16.5,-146.25,-0.012292163557274138
-15.75,-146.25,-0.012946050659027097
-15.0,-146.25,0.024020361247047095
-14.25,-146.25,0.02345701235938291
-13.5,-146.25,0.019403842876414945
-12.75,-146.25,0.015880852798143552
-12.0,-146.25,0.015408042124568144
-11.25,-146.25,0.01236535105412373
-10.5,-146.25,0.011962958991506456
-9.75,-146.25,0.009390746333585387
-9.0,-146.25,0.007178713080360666
-8.25,-146.25,0.006856799430266847
-7.5,-146.25,0.005015065184869494
-6.75,-146.25,0.004753510344168266
-6.0,-146.25,0.0032421349081632744
-5.25,-146.25,0.0020309986784201595
-4.5,-146.25,0.001859982051807707
-3.75,-146.25,0.0009290850283263374
-3.0,-146.25,0.00026836740954117033
-2.25,-146.25,0.00016776939388685186
-1.5,-146.25,-0.0002125894155058372
-0.75,-146.25,-0.0002528286217675646
0.0,-146.25,-0.00036288842333309645
0.75,-146.25,-0.0002228286217675901
1.5,-146.25,-0.00018258941550586272
2.25,-146.25,0.00021776939388673533
3.0,-146.25,0.0003183674095410538
3.75,-146.25,0.0010090850283264174
4.5,-146.25,0.001959982051807696
5.25,-146.25,0.0021309986784201485
6.0,-146.25,0.003372134908163238
6.75,-146.25,0.004913510344168204
7.5,-146.25,0.005175065184869432
8.25,-146.25,0.007056799430266825
9.0,-146.25,0.007378713080360644
9.75,-146.25,0.00962074633358534
10.5,-146.25,0.012232958991506448
11.25,-146.25,0.012635351054123722
12.0,-146.25,0.01572804212456802
12.75,-146.25,0.016200852798143428
13.5,-146.25,0.019773842876414927
14.25,-146.25,0.023897012359382908
15.0,-146.25,0.02446036124704709
15.75,-146.25,-0.01256605065902705
16.5,-146.25,-0.011912163557274091
17.25,-146.25,-0.007688097050824627
18.0,-146.25,-0.006983910941244398
18.75,-146.25,-0.0020596650300988006
19.5,-146.25,0.0037447602857432205
20.25,-146.25,0.004489185601585177
21.0,-146.25,0.011443909925254125
21.75,-146.25,0.012248694050488673
